radius latitude longitude sensitivity
6370999.0 0.0 180.0 0.0
6370999.0 -17.0 -153.0 0.0
6172888.0 -8.0 -153.0 0.0
6105423.0 0.0 -153.0 0.0
6172888.0 8.0 -153.0 0.0
6370999.0 17.0 -153.0 0.0
6370999.0 -25.0 -162.0 0.0
6037204.0 -18.0 -162.0 0.0
5827757.0 -9.0 -162.0 0.0
5756248.0 0.0 -162.0 0.0
5827757.0 9.0 -162.0 0.0
6037204.0 18.0 -162.0 0.0
6370999.0 25.0 -162.0 0.0
6172888.0 -26.0 -171.0 0.0
5827757.0 -18.0 -171.0 0.0
5610496.0 -9.0 -171.0 0.0
5536182.0 0.0 -171.0 0.0
5610496.0 9.0 -171.0 0.0
5827757.0 18.0 -171.0 0.0
6172888.0 26.0 -171.0 0.0
6105423.0 -27.0 180.0 0.0
5756248.0 -18.0 180.0 0.0
5536182.0 -9.0 180.0 0.0
5460856.0 0.0 180.0 0.0
5536182.0 9.0 180.0 0.0
5756248.0 18.0 180.0 0.0
6105423.0 27.0 180.0 0.0
6172888.0 -26.0 171.0 0.0
5827757.0 -18.0 171.0 0.0
5610496.0 -9.0 171.0 0.0
5536182.0 0.0 171.0 0.0
5610496.0 9.0 171.0 0.0
5827757.0 18.0 171.0 0.0
6172888.0 26.0 171.0 0.0
6370999.0 -25.0 162.0 0.0
6037204.0 -18.0 162.0 0.0
5827757.0 -9.0 162.0 0.0
5756248.0 0.0 162.0 0.0
5827757.0 9.0 162.0 0.0
6037204.0 18.0 162.0 0.0
6370999.0 25.0 162.0 0.0
6370999.0 -17.0 153.0 0.0
6172888.0 -8.0 153.0 0.0
6105423.0 0.0 153.0 0.0
6172888.0 8.0 153.0 0.0
6370999.0 17.0 153.0 0.0
6105423.0 -17.0 -141.0 0.0
5898399.0 -9.0 -141.0 0.0
5827757.0 0.0 -141.0 0.0
5898399.0 9.0 -141.0 0.0
6105423.0 17.0 -141.0 0.0
5968205.0 -27.0 -149.0 0.0
5610497.0 -19.0 -149.0 0.0
5384477.0 -10.0 -149.0 0.0
5306998.0 0.0 -149.0 0.0
5384477.0 10.0 -149.0 0.0
5610497.0 19.0 -149.0 0.0
5968205.0 27.0 -149.0 0.0
6105423.0 -37.0 -158.0 0.0
5610497.0 -29.0 -158.0 0.0
5228372.0 -20.0 -158.0 0.0
4985057.0 -11.0 -158.0 0.0
4901268.0 0.0 -158.0 0.0
4985057.0 11.0 -158.0 0.0
5228372.0 20.0 -158.0 0.0
5610497.0 29.0 -158.0 0.0
6105423.0 37.0 -158.0 0.0
5898399.0 -38.0 -169.0 0.0
5384477.0 -30.0 -169.0 0.0
4985057.0 -21.0 -169.0 0.0
4729240.0 -11.0 -169.0 0.0
4640835.0 0.0 -169.0 0.0
4729240.0 11.0 -169.0 0.0
4985057.0 21.0 -169.0 0.0
5384477.0 30.0 -169.0 0.0
5898399.0 38.0 -169.0 0.0
5827757.0 -39.0 180.0 0.0
5306998.0 -31.0 180.0 0.0
4901268.0 -22.0 180.0 0.0
4640835.0 -11.0 180.0 0.0
4550713.0 0.0 180.0 0.0
4640835.0 11.0 180.0 0.0
4901268.0 22.0 180.0 0.0
5306998.0 31.0 180.0 0.0
5827757.0 39.0 180.0 0.0
5898399.0 -38.0 169.0 0.0
5384477.0 -30.0 169.0 0.0
4985057.0 -21.0 169.0 0.0
4729240.0 -11.0 169.0 0.0
4640835.0 0.0 169.0 0.0
4729240.0 11.0 169.0 0.0
